Average,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:YEAR_MONTH
BitAndAgg,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitOrAgg,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitXorAgg,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
StddevPop,DOUBLE;DOUBLE
StddevSamp,DOUBLE;DOUBLE
VariancePop,DOUBLE;DOUBLE
VarianceSamp,DOUBLE;DOUBLE
Skewness,DOUBLE;DOUBLE
Kurtosis,DOUBLE;DOUBLE
Corr,DOUBLE;DOUBLE;DOUBLE
Count,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;LONG
CovPopulation,DOUBLE;DOUBLE;DOUBLE
CovSample,DOUBLE;DOUBLE;DOUBLE
First,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH
Last,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH
AggregateExpression,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BOOLEAN;BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH
Max,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH
MaxBy,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH
MinBy,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH
Min,BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH;BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:TIMESTAMP:YEAR_MONTH
Sum,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;DAY_TIME:DECIMAL:DOUBLE:LONG:YEAR_MONTH
HyperLogLogInitSimpleAgg,BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:TIMESTAMP:YEAR_MONTH;BINARY
HyperLogLogCardinality,BINARY;LONG
Abs,BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH
UnaryPositive,BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH
UnaryMinus,BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH
Add,BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH
Subtract,BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH;BYTE:CALENDAR:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:YEAR_MONTH
Multiply,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT
Divide,DECIMAL:DOUBLE;DECIMAL:DOUBLE;DECIMAL:DOUBLE
IntegralDivide,DAY_TIME:DECIMAL:LONG:YEAR_MONTH;DAY_TIME:DECIMAL:LONG:YEAR_MONTH;LONG
Remainder,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT
Pmod,BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT;BYTE:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT
CreateArray,ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;ARRAY
GetArrayItem,ARRAY;BYTE:INTEGER:LONG:SHORT;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
ArrayContains,ARRAY;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;BOOLEAN
ArrayMin,ARRAY;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
ArrayMax,ARRAY;ARRAY:BINARY:BOOLEAN:BYTE:CALENDAR:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:MAP:NULL:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH
ArrayPosition,ARRAY;ARRAY:BINARY:BOOLEAN:BYTE:DATE:DAY_TIME:DECIMAL:DOUBLE:FLOAT:INTEGER:LONG:SHORT:STRING:STRUCT:TIMESTAMP:YEAR_MONTH;LONG
ArrayDistinct,ARRAY;ARRAY
ArrayUnion,ARRAY;ARRAY;ARRAY
ArrayIntersect,ARRAY;ARRAY;ARRAY
ArrayExcept,ARRAY;ARRAY;ARRAY
BitwiseAnd,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitwiseOr,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitwiseXor,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitwiseNot,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
BitwiseCount,BOOLEAN:BYTE:INTEGER:LONG:SHORT;INTEGER
BitwiseReverse,BYTE:INTEGER:LONG:SHORT;BYTE:INTEGER:LONG:SHORT
Size,ARRAY:MAP;INTEGER
